compound,VAparam,KAparam,rparam,c1param,c0param,D0param,D1param,D2param,D3param,D4param,D5param,D6param,D7param,D8param,D9param,cost
Antimycin A,0.754939307886764,7.07097099620635e-07,1.0000000193060213e-06,301515.80904908245,0.021611777551357177,0.0,0.0,0.1580866797382009,1.2989829949148743,1.9005129882753151,2.1758915964590746,1.8557629341360078,3.3604480763921156,6.705889641409947,4.1418474309035016e+40,161.64310546659783
Azoxystrobin,4.3379274428767226e+17,845130095269.8156,1.0000000000007055e-06,925266.5929422098,0.03429168071297091,0.046245236878996294,2.9845554942315865e-17,0.1481020504222457,0.12670204858651954,0.21669800997645983,0.34746247809165176,0.6456439861759384,1.0715675398662416,11.588676477167937,522269164983846.94,31.09776652931688
Capsaicin,39268.634357649375,3.4726014919541006,0.0007748700386865101,999792.5451514181,0.8208405149045599,332.2154576226946,285.22198736273015,262.4843975360237,309.60063194091424,182.08774928074925,218.93308372012547,345.4489628541691,622.347302494985,419.4589119291252,1652865179957.133,25.93780835811869
Carboxine,7.213071183508696e+17,1196654547683479.2,0.0016785640503479858,342.9249308619217,0.656248433770686,0.37417150702744945,3.4695423455572956e-21,0.9279619161935586,0.16956683028456487,0.3969449535101949,0.483670859158673,2.846516916975922e+22,1.37992127936058,2.043514986593778,5.098649941957449,12.005081297526285
Cyazofamid,1469572.2065038467,185.95263346722638,0.0022073380410416277,999882.5489790005,0.7483217098279052,407.925273850628,197.04348638478243,263.90474519225353,251.48065841637575,423.0334283139339,342.56912524467384,260.5177531007095,487.06708622369905,710.9656191714051,52417782.05990874,8.323041644389326
Deguelin,1.2141442280113177,1.5931228500815e-06,1.000000111708693e-06,653000.1198184724,0.015498129553772269,0.05860951498096565,0.010281542494399748,0.02347636710991252,0.16232391378643335,0.9079054101576876,5.419913468560268,13.547591386440926,46.28211170233458,7.053752809308589e+25,133.5348555952326,109.05860818773546
Fenamidone,2.6650940137160104,9.939242871212129e-06,1.0000002068031897e-06,357752.25972822093,0.09230183003303391,3.4126663305344115e-19,0.01930898826699928,0.00020560122618236927,0.13336894065187177,0.07298075667704736,0.053530099746799,0.16178823588692892,0.5616302780336814,7.1138280879488205,1.0332659269015468e+19,14.568806876149878
Fenazaquin,0.9209727826363621,1.169735761615166e-06,1.0000002950586308e-06,443168.8143243565,0.023963190628214635,0.0,0.03895805633795107,0.042945890490765436,0.04076221129640249,0.07981179273715372,0.8162634431614834,2.3696661259326457,5.276445288562305,22.897572993015416,6.077464247222941e+19,58.82042260071063
Fenfuram,0.6113070409875827,1.2058462732290418e-08,1.0000000124443374e-06,278254.31777961855,0.7794231287951627,11328.73549080222,0.007560481088472426,0.08665836896838316,1.164016856442442,1.5417180640911872,0.11060748387885881,0.04493714392946685,0.044183594866395434,0.03540540935767005,0.027198612834025398,29.91425825155078
Fenpyroximate,3.7635988272667897,9.725966571336164e-06,1.0000006696492632e-06,530728.1119104341,0.03255310432126674,0.11374991102504683,0.13891057665242865,0.513277460653357,2.165615422079203,6.568143217798995,19.76186501256138,37.419955967453866,5.918054137505946e+16,151.92269956617108,38.28747675563307,104.97818739240083
Flutolanil,1153029301096044.2,126949299870356.73,0.0718062953024564,12.251287928702512,0.22641228450177667,0.23874092743240896,0.21707335574355893,0.11758151827021274,0.4176958784053841,0.7203875526300793,0.21865190779904498,0.6252855987109052,2.134996779689515,2.8222241127236534,19.36949472183832,18.06200063662895
Hydramethylnon,1.1170553362502662e+16,1.1585108949057435e+23,140487.77592730342,1.0000247481017769e-06,-5.233756375449358,426368.4284372873,261426.78317072114,747215.8348303402,697926.7430973779,522443.3536295407,1817400.4863331642,2375144.052240543,3519443.433361462,3514048.8858580613,5031297.31697265,42.47905795316011
Kresoxim-methyl,0.7378450035035024,73513.01636976146,420954.10828945116,1.0516682269937276e-06,0.84654402052471,57298798.232673295,12295636.035930669,9217670.729654377,9879162.400225611,643084.7507418501,66375426.42878101,7211511.3962114025,3358410.130475643,10904107.456425708,4.531942613135393e+68,21.910795627015844
Mepronil,0.6151123327787411,16976.94159624201,373896.10033866,1.0001293776212302e-06,0.30564603349958375,535556.8127825824,943029.669225224,919767.3429633443,1104970.9553457196,502033.3685051714,963100.0709102185,1056757.090030361,1022682.28449976,2490541.3145463564,17769591.203894086,26.007187943939222
Picostrobin,0.6000001288268453,4.698707540801678e-09,0.12167935827394752,47.50226307575187,0.038784198614177846,0.002794058125397449,0.0009492028498340372,3.0454535289616887e-17,0.0015639443503329504,0.012201774389778193,0.03063759388658968,0.05705774260960269,0.06950429901623276,0.08498472276355495,0.10658646818031352,32.61674683551871
Pyraclostrobin,2.579385100166553e+32,1.2801715197788552e+31,0.017201868176774184,36.172394986871865,0.023264848939974037,0.4708432538068282,0.4314277144241883,5.037190543653008e-29,0.10087798070881332,0.3023913797051332,3.671644842569934,16.89579837402936,78.83588749538463,5.660699722901638e+24,79.01553187744743,63.97397794807472
Pyridaben,0.7102006350765281,4.7018260864402935e-07,1.0000000489195615e-06,308999.23825949023,0.012653784076993241,4.0759294892589776e-60,0.0,0.10925146059803245,0.507711216497977,0.8859783105020425,1.4805701187346283,2.0591770591761036,3.747421975556599,9.490940530005005,1.345879444987753e+48,202.10028370867403
Pyrimidifen,0.6780848747632924,2.195265716408082e-07,1.0000000083431773e-06,490503.4154247118,0.01291957598949612,4.810676931775274e-239,0.033946513917721174,0.14978656607516397,0.5663815534711099,0.8472757121348519,3.1200840996179444,8.331145746407474,41.009897264210984,6.697423790462206e+20,30.25265111288896,129.4136750213655
Rotenone,1.1199412760405656,1.6463169154655431e-06,1.000000096602697e-06,496564.20529785886,0.012465565290156582,3.51756169028715e-20,0.028153614658297965,0.1941656830181658,1.1903986720519169,3.5016895570702364,13.574235497669122,30.930772333369625,930701035185718.4,25.228267000595366,3.1024747113001867,168.37313799762157
Tebufenpyrad,1.664732655190526,4.875974967419334e-06,1.0000000138539434e-06,322958.54781418684,0.02939187379760131,0.12393106319323215,0.01232954258586572,0.10708251972766814,0.27413524583413373,1.4372544432173566,4.657093059626968,9.204194988728341,15.988473933489391,46.54753567052442,9.252182682248226e+69,54.16705857387693
Thifluzamide,0.6164485881255718,0.023256958860417974,0.183680448888004,0.6203085603996592,0.3214655462152699,0.09740246080783103,0.40338802838832655,0.049456448130560444,0.14415045118886577,0.48850517632978213,0.2679196430077071,0.6186516274111165,0.6304704268823429,2.2028685043077196,7.474844511596755e+131,22.29744590450605
Trifloxystrobin,0.6013497528997819,1301.933849791587,975754.185630203,1.8645435120869341e-06,0.46313612907860097,1335991.1109844618,1094923.7486112462,1047500.4528942143,1252152.4726243631,1196079.2377945264,1155267.1886302605,1195919.2055859186,1140227.493161599,1268949.1370692493,2210567.1413213895,18.20134196861442
FCCP,423.53017912461826,5.706618859584926,0.008154110615285237,7875.950741189795,-62.826240847481884,1.6855956425779738e-05,0.14203900701356686,6.403273514422522e-22,0.14170774415307308,0.05600635446041088,0.4221616274812428,0.8260199410531198,2.036177213612912,6.663098507501362,2.682242456843379e+41,65.1330739767885
Oligomycin,4.5089245235048696e+16,1273949492.8827107,14.021106293298232,0.05326612891817576,0.6839462837526668,126889609.68875556,0.0005397812883113101,301205617.94362825,229894624.43883204,473061646.04435164,672140917.4695503,856595157.7814819,1372560495.9556775,,,1160.9320670659533
